key,food_type,value,relevant,measurement,note
teriyaki,f,176,Y,,
gatorade,b,174,Y,,
fig,f,172,Y,,
glass,b,169,N,Y,
dark,f,169,N,,
biscuits,f,169,Y,,
mash,f,168,N,,
surf,f,168,N,,
mushroom,f,168,Y,,
light,b,167,N,,
turf,f,167,N,,
lisinopril,m,167,Y,,
candy,f,166,Y,,
chorizo,f,166,Y,,
peach,f,166,Y,,
monster,b,165,Y,,
mediterranean,f,165,N,,
tbsp,f,165,N,Y,
squeeze,b,164,N,,
dog,f,164,N,,
pot,f,164,N,,
cantaloupe,f,164,Y,,
macaroni,f,164,Y,,
bang,b,161,Y,,
asian,f,161,N,,
stuffed,f,161,N,,
artichoke,f,159,Y,,
crab,f,159,Y,,
parmesan,f,159,Y,,
claritin,m,159,Y,,
pepcid,m,159,Y,,
macadamia,f,155,Y,,
one,f,154,N,,
gravy,f,154,Y,,
coleslaw,f,153,Y,,
sauteed,f,152,N,,
mayo,f,152,Y,,
tangerine,f,151,Y,,
powder,b,150,N,,
cappuccino,b,148,Y,,
collagen,b,148,Y,,
sub,f,147,N,,
lentil,f,147,Y,,
pear,f,147,Y,,
syrup,f,147,Y,,
white,b,146,N,,
pollo,f,145,N,,
cheerios,f,144,Y,,
thorne,b,143,N,,
enchilada,f,143,Y,,
beets,f,140,Y,,
sugar,f,140,Y,,
raisins,f,139,Y,,
workout,b,138,N,,
chop,f,137,N,,
flour,f,137,Y,,
jerky,f,137,Y,,
cheddar,f,136,Y,,
pumpkin,f,136,Y,,
blackberries,f,135,Y,,
beers,b,134,Y,,
chick,f,134,N,,
thigh,f,133,N,,
flonase,m,133,Y,,
tortillas,f,132,Y,,
gabapentin,m,131,Y,,
jalapeno,f,130,Y,,
potatos,f,130,Y,,
lemonade,b,129,Y,,
costco,f,129,N,,
coors,b,128,Y,,
mexican,f,128,N,,
cilantro,f,128,Y,,
lentils,f,128,Y,,
bun,f,127,Y,,
meatloaf,f,127,Y,,
waffles,f,127,Y,,
diet,b,126,N,,
mini,f,126,N,,
yellow,f,126,N,,
cashew,f,126,Y,,
lobster,f,126,Y,,
pancake,f,126,Y,,
afternoon,b,125,N,,
peanuts,f,125,Y,,
morning,b,124,N,,
pinto,f,124,Y,,
lexapro,m,124,Y,,
spicy,f,123,N,,
three,f,123,N,,
chowder,f,123,Y,,
pepperoni,f,123,Y,,
wraps,f,123,Y,,
margarita,b,122,Y,,
spring,f,122,N,,
calcium,m,122,Y,,
decaf,b,121,N,,
kombucha,f,120,Y,,
kettle,f,119,N,,
meatball,f,119,Y,,
raspberries,f,119,Y,,
tofu,f,119,Y,,
cherry,f,118,Y,,
red,m,118,N,,
vegas,f,117,N,,
sand,f,116,N,,
seed,f,116,N,,
tbs,b,115,N,Y,
cesar,f,115,N,,
superfood,b,114,N,,
bars,f,114,N,,
casserole,f,114,Y,,
lamb,f,114,Y,,
raisin,f,114,Y,,
pills,m,114,N,,
yeast,m,114,N,,
rice,f,114,Y,,FOOD - MISCLASSIFIED
one,b,113,N,,
pre,b,113,N,,
dessert,f,113,N,,
energy,f,113,N,,
arugala,f,113,Y,,"Used to be incorrectly corrected to ""frugal"""
noodle,f,113,Y,,
multivitamin,m,113,Y,,
atarax,m,112,Y,,"Used to be incorrectly corrected to ""tara"""
qtr,f,111,N,,
biscuit,f,111,Y,,
mint,f,110,Y,,
sparkling,b,109,N,,
decaf,f,109,N,,
prime,f,109,N,,
spanish,f,109,N,,
doughnut,f,109,Y,,
ginger,f,108,Y,,
water,f,108,Y,,
omega,m,108,N,,
club,f,107,N,,
frozen,f,107,N,,
paleo,f,107,N,,
rolled,f,107,N,,
cranberry,f,107,Y,,
mustard,f,107,Y,,
oj,f,107,Y,,
daily,m,107,N,,
cornbread,f,106,Y,,
fajitas,f,106,Y,,
waffle,f,105,Y,,
buffalo,f,104,N,,
cole,f,104,N,,
plain,f,104,N,,
brisket,f,104,Y,,
oj,b,103,Y,,
rum,b,103,Y,,
ceviche,f,103,Y,,
pho,f,103,Y,,
pepsi,b,102,Y,,
pad,f,102,N,,
string,f,102,N,,
cups,b,101,N,Y,
celery,b,101,Y,,
glass,f,101,N,Y,
maple,f,101,Y,,
trip,f,101,N,,
gum,f,101,Y,,
ramen,f,100,Y,,
ravioli,f,100,Y,,
subway,f,100,Y,,
c,f,99,N,,
cherries,f,96,Y,,
fajita,f,96,Y,,
shared,f,95,N,,
street,f,95,N,,
bananas,f,95,Y,,
glucosamine,m,95,Y,,
aussie,f,94,N,,
butternut,f,94,N,,
clam,f,94,Y,,
multi,m,94,N,,
thighs,f,93,N,,
couscous,f,93,Y,,
flax,f,92,N,,
masala,f,91,Y,,
ginger,b,90,Y,,
alfredo,f,90,Y,,
iced,f,90,N,,
gyro,f,90,Y,,
pretzel,f,90,Y,,
ale,b,89,Y,,
chinese,f,89,N,,
jack,f,89,N,,
snacks,f,89,N,,
frittata,f,89,Y,,
mozzarella,f,89,Y,,
ketchup,f,88,Y,,
biloba,m,88,N,,
ginko,m,88,N,,
fat,f,87,N,,
scoop,f,87,N,Y,
sesame,f,87,Y,,
goat,f,87,Y,,
margarita,f,87,Y,,
pastrami,f,87,Y,,
pickles,f,87,Y,,
tonic,b,86,Y,,
whiskey,b,85,Y,,
dates,f,85,Y,,
p,f,84,N,,
unsalted,f,84,N,,
mayonnaise,f,84,Y,,
steamed,f,83,N,,
sun,f,83,N,,
wild,f,83,N,,
marinara,f,83,Y,,
mct,b,82,N,,
seaweed,f,82,Y,,
garden,f,81,N,,
post,b,80,N,,
hawaiian,f,80,N,,
latte,f,80,Y,,
vinaigrette,f,80,Y,,
chops,f,79,N,,
doritos,f,79,Y,,
lemonade,f,79,Y,,
buttered,f,78,N,,
corned,f,78,N,,
standard,f,78,N,,
eggplant,f,78,Y,,
vit,m,78,N,,
bratwurst,f,77,Y,,
tangerines,f,77,Y,,
crunch,f,76,N,,
melt,f,76,N,,
kitchen,f,75,N,,
peas,f,75,Y,,
stuffing,f,75,Y,,
gnc,m,75,N,,
sport,m,75,N,,
shot,b,74,N,,
big,f,74,N,,
donuts,f,74,Y,,
sliders,f,74,Y,,
ceaser,f,73,N,,
dough,f,73,N,,
refried,f,73,N,,
soy,f,73,N,,
basil,f,73,Y,,
bull,b,72,N,,
vanilla,b,72,N,,
bai,b,72,Y,,
seltzer,b,72,Y,,
berry,f,72,Y,,
barley,f,72,Y,,
seafood,f,72,Y,,
walnut,f,72,Y,,
bag,f,71,N,,
low,f,71,N,,
soft,f,71,N,,
vegetarian,f,71,N,,
icecream,f,71,Y,,
hard,b,70,N,,
dr,f,70,N,,
pastor,f,70,N,,
chilli,f,70,Y,,
tbsp,b,69,N,Y,
spinach,b,69,Y,,
medium,f,69,N,,
quiche,f,69,Y,,
irish,b,68,N,,
baby,f,68,N,,
garbanzo,f,68,Y,,
melon,f,68,Y,,
rings,f,67,N,,
calamari,f,67,Y,,
bran,f,66,N,,
guam,f,66,N,,
multi,f,66,N,,
pea,f,66,Y,,
rubies,f,66,N,,
edamame,f,66,Y,,
hotdog,f,66,Y,,
tortellini,f,66,Y,,
vodka,f,66,Y,,
probiotic,m,66,Y,,
cal,f,65,N,,
pc,f,65,N,,
split,f,65,N,,
magnesium,m,65,Y,,
muffins,f,64,Y,,
bottle,b,63,N,Y,
al,f,63,N,,
lara,f,63,N,,
sticks,f,63,N,,
naan,f,63,Y,,
pistachio,f,63,Y,,
salt,f,63,Y,,
splenda,f,63,Y,,
tamales,f,63,Y,,
yam,f,63,Y,,
bullet,b,62,N,,
gin,b,62,Y,,
benedict,f,62,N,,
caprese,f,62,Y,,
cut,f,62,N,,
zero,f,62,N,,
burgers,f,62,Y,,
drumstick,f,62,Y,,
jam,f,62,Y,,
meal,f,62,Y,,
j,f,61,N,,
cassava,f,61,Y,,
cheetos,f,61,Y,,
omelet,f,61,Y,,
plantains,f,61,Y,,
brain,b,60,N,,
fresh,f,60,N,,
nature,f,60,N,,
oat,f,60,Y,,
pop,f,60,N,,
reeves,f,60,N,,
valley,f,60,N,,
nectarine,f,60,Y,,
pickle,f,60,Y,,
sunflower,f,60,Y,,
black,m,60,N,,
crust,f,59,N,,
steel,f,59,N,,
test,f,59,N,,
beet,f,59,Y,,
machaca,f,59,Y,,
bake,f,58,N,,
panini,f,58,Y,,
turmeric,m,58,Y,,
work,b,57,N,,
brats,f,57,N,,
ceasar,f,57,N,,
cob,f,57,N,,
loin,f,57,N,,
parm,f,57,N,,
spread,f,57,Y,,
stuff,f,57,N,,
cheesecake,f,57,Y,,
oct,b,56,N,,
cold,f,56,N,,
side,f,56,N,,
verge,f,56,N,,
chile,f,56,Y,,
lime,f,56,Y,,
raspberry,f,56,Y,,
yams,f,56,Y,,
evita,b,55,N,,
chai,b,55,Y,,
rose,b,55,Y,,
tequila,b,55,Y,,
cakes,f,55,Y,,
calories,f,55,N,,
dogs,f,55,N,,
leftover,f,55,N,,
smooth,f,55,N,,
yolk,f,55,Y,,
beers,f,55,Y,,
pecans,f,55,Y,,
plum,f,55,Y,,
choc,f,54,N,,
jersey,f,54,N,,
rotisserie,f,54,Y,,
verde,f,54,N,,
cod,f,54,Y,,
elk,f,54,Y,,
fettuccine,f,54,Y,,
gelato,f,54,Y,,
grapefruit,f,54,Y,,
tamale,f,54,Y,,
trout,f,54,Y,,
c,b,53,N,,
cali,f,53,N,,
covered,f,53,N,,
starbucks,f,53,N,,
tikka,f,53,N,,
halibut,f,53,Y,,
muesli,f,53,Y,,
