key,food_type,value,relevant,measurement,note
fruit yogurt,f,229,Y,,
mashed potatoes,f,225,Y,,
swiss sandwich,f,224,Y,,
fried rice,f,221,Y,,
green salad,f,218,Y,,
cheese sandwich,f,218,Y,,
black tea,b,216,Y,,
tomato soup,f,215,Y,,
cliff bar,f,211,Y,,
cottage cheese,f,210,Y,,
egg cheese,f,209,N,,
roasted veggies,f,209,Y,,
grilled cheese,f,205,Y,,
egg sandwich,f,204,Y,,
feta cheese,f,204,Y,,
coconut water,b,203,Y,,
chicken burrito,f,201,Y,,
mac cheese,f,201,Y,,
boiled egg,f,201,Y,,
fish oil,m,201,Y,,
french toast,f,200,Y,,
garlic bread,f,199,Y,,
spaghetti squash,f,198,Y,,
spinach salad,f,197,Y,,
beef swiss,f,196,N,,
burger fries,f,195,N,,
whole wheat,f,193,N,,
pasta salad,f,193,Y,,
beans rice,f,192,N,,
ice tea,b,190,Y,,
hash browns,f,190,Y,,
whole grain,f,190,N,,
greek salad,f,188,Y,,
vitamin d,m,188,Y,iu,iu is a measurement
raw sugar,b,185,Y,,
fried eggs,f,184,Y,,
rx bar,f,183,Y,,
sour cream,f,182,Y,,
bbq chicken,f,180,Y,,
orange juice,b,179,Y,,
salad avocado,f,179,N,,
ounce mocha,f,178,N,ounce,
eggs cheese,f,175,N,,
breakfast sandwich,f,173,Y,,
english muffin,f,172,Y,,
ground beef,f,171,Y,,
butter honey,f,170,N,,
rice chicken,f,167,N,,
coffee creamer,f,167,Y,,
surf turf,f,167,Y,,
chicken wrap,f,167,Y,,
protein powder,f,167,Y,,
shake banana,f,165,N,,
chia squeeze,b,164,Y,,
salad sandwich,f,164,N,,
coffee raw,b,161,N,,
california burrito,f,161,Y,,
half cup,f,159,N,,
granola fruit,f,158,N,,
turkey burger,f,157,Y,,
ham cheese,f,156,Y,,
banana bread,f,154,Y,,
asada burrito,f,153,N,,
jelly sandwich,f,153,Y,,
bagel cream,f,153,Y,,
chicken tacos,f,153,Y,,
steak salad,f,153,Y,,
grain bread,f,153,N,,
milk sugar,b,151,N,,
chicken soup,f,151,Y,,
protein drink,f,151,Y,,
protein powder,b,150,Y,,
bacon cheese,f,150,N,,
tortilla soup,f,149,Y,,
chicken broccoli,f,147,Y,,
turkey cheese,f,146,N,,
coke zero,b,145,Y,,
cheese burrito,f,145,Y,,
potato salad,f,145,Y,,
hot tea,b,144,Y,,
energy drink,b,143,Y,,
thorne protein,b,143,Y,,
powder scoop,b,143,N,,
coconut milk,b,142,Y,,
turf burrito,f,142,N,,
calorie protein,f,142,N,,
protein smoothie,b,141,Y,,
macadamia nuts,f,141,Y,,
red onion,f,141,Y,,
chicken pasta,f,141,Y,,
honey almond,b,140,N,,
cheese avocado,f,140,N,,
vodka soda,b,139,Y,,
corn chips,f,139,Y,,
chip cookie,f,138,N,,
apple peanut,f,137,N,,
eggs fruit,f,136,N,,
power bowl,f,136,Y,,
dark chocolate,f,135,Y,,
ranch dressing,f,135,Y,,
coffee collagen,b,134,N,,
milk mocha,b,133,N,,
green tea,b,132,Y,,
tacos rice,f,131,N,,
ham sandwich,f,131,Y,,
hot dog,f,130,Y,,
black bean,f,130,Y,,
mocha coffee,b,129,Y,,
pork chop,f,129,Y,,
chicken wings,f,129,Y,,
fig bar,f,129,Y,,
mixed fruit,f,129,Y,,
organic coffee,b,128,Y,,
rice broccoli,f,128,N,,
oil vinegar,f,128,N,,
coors light,b,127,Y,,
chocolate milk,b,127,Y,,
turkey meat,f,127,Y,,
mixed veggies,f,127,Y,,
cereal berries,f,126,N,,
eggs potatoes,f,126,N,,
veggie burrito,f,126,Y,,
bang energy,b,125,Y,,
small almond,b,125,Y,,
pita chips,f,125,Y,,
morning coffee,b,124,N,,
butter banana,f,124,N,,
turkey wrap,f,124,Y,,
black coffee,f,123,Y,,
afternoon coffee,b,122,N,,
pinto beans,f,122,Y,,
coffee black,f,122,Y,,
egg bacon,f,121,N,,
chicken thigh,f,121,Y,,
sourdough toast,f,121,Y,,
cheese burger,f,120,Y,,
bean cheese,f,118,N,,
banana peanut,f,117,N,,
egg bites,f,117,Y,,
salmon salad,f,116,Y,,
meat sauce,f,115,Y,,
wheat toast,f,115,Y,,
sweet potatoe,f,115,Y,,
bacon eggs,f,114,N,,
red rice,m,114,Y,,
rice yeast,m,114,N,,
yeast pills,m,114,N,,
coffee superfood,b,113,N,,
superfood creamer,b,113,N,,
chicken veggie,f,113,N,,
turkey bacon,f,113,Y,,
chicken enchiladas,f,112,Y,,
eggs spinach,f,111,N,,
chicken tortilla,f,110,N,,
tbs maple,b,109,N,,
chicken avocado,f,109,N,,
lisinopril pepcid,m,109,N,,
creamer tbs,b,108,N,,
fish taco,f,108,Y,,
salad chips,f,107,N,,
pizza salad,f,107,N,,
claritin flonase,m,107,N,,
veggies rice,f,106,N,,
turkey sausage,f,106,Y,,
teriyaki chicken,f,105,Y,,
prime rib,f,105,Y,,
lexapro tara,m,105,N,,
rice salad,f,104,N,,
salmon rice,f,104,N,,
chia seeds,f,103,Y,,
pepcid claritin,m,103,N,,
celery juice,b,100,Y,,
cole slaw,f,100,Y,,
egg salad,f,100,Y,,
half avocado,f,100,Y,,
red wine,f,100,Y,,
chicken taco,f,99,Y,,
bean burrito,f,99,Y,,
bacon egg,f,98,N,,
shredded chicken,f,98,Y,,
pork ribs,f,97,Y,,
potato fries,f,97,N,,
chicken bowl,f,97,Y,,
bacon avocado,f,97,N,,
egg sausage,f,96,N,,
shrimp burrito,f,96,Y,,
beef jerky,f,94,Y,,
qtr cup,f,94,N,,
cesar salad,f,94,Y,,
milk cappuccino,b,93,N,,
chicken caesar,f,93,N,,
orange chicken,f,93,Y,,
pita bread,f,93,Y,,
corn bread,f,93,Y,,
gluten crackers,f,93,Y,,
tacos beans,f,92,N,,
cream sugar,b,91,N,,
sparkling water,b,91,Y,,
cup coffee,f,91,N,,
macaroni salad,f,91,Y,,
veggie pizza,f,91,Y,,
brussels sprouts,f,91,Y,,
raw almonds,f,91,Y,,
string cheese,f,90,Y,,
baked potato,f,90,Y,,
pad thai,f,90,Y,,
aussie bites,f,90,Y,,
eggs veggies,f,89,N,,
spanish rice,f,89,Y,,
chicken thighs,f,89,Y,,
veggie wrap,f,88,Y,,
ginko biloba,m,88,Y,,
one cup,b,87,N,,
salmon veggies,f,87,N,,
butternut squash,f,87,Y,,
fish burrito,f,87,Y,,
eggs chicken,f,87,N,,
iced tea,b,86,Y,,
cup black,b,86,N,,
clam chowder,f,86,Y,,
frozen yogurt,f,86,Y,,
baked beans,f,85,Y,,
baked chicken,f,85,Y,,
sandwich fries,f,85,N,,
coconut oil,f,85,Y,,
organic banana,f,85,Y,,
blue berries,f,84,Y,,
chip cookies,f,84,Y,,
chicken curry,f,83,Y,,
blue cheese,f,83,Y,,
gf organic,f,83,N,,
cream maple,b,82,N,,
water thorne,b,82,N,,
apple pie,f,82,Y,,
sourdough bread,f,82,Y,,
quinoa salad,f,82,Y,,
wheat bread,f,82,Y,,
pork sandwich,f,82,Y,,
flour tortilla,f,82,Y,,
three eggs,f,82,N,three,
granola bowl,f,82,Y,,
egg burrito,f,81,Y,,
orange juice,f,81,Y,,
lentil soup,f,81,Y,,
cup hot,b,79,N,,
hot coffee,b,79,N,,
veggie scramble,f,79,Y,,
street tacos,f,79,Y,,
eggs turkey,f,79,N,,
pancakes eggs,f,78,N,,
pesto pasta,f,78,Y,,
rice bowl,f,78,Y,,
turkey avocado,f,78,N,,
smoked salmon,f,78,Y,,
corned beef,f,78,Y,,
standard breakfast,f,78,N,,
multivitamin,m,78,N,,Handled in unigram
post workout,b,77,N,,
ahi poke,f,77,Y,,
maple syrup,f,77,Y,,
pepperoni pizza,f,77,Y,,
oatmeal coconut,f,77,Y,,
fried chicken,f,76,Y,,
eggs sweet,f,76,N,,
shake almond,f,76,N,,
fruit protein,b,75,N,,
rolled tacos,f,75,Y,,
cheese tomato,f,75,N,,
toast avocado,f,75,N,,
cheddar cheese,f,75,Y,,
salad ranch,f,75,N,,
white wine,b,74,Y,,
slices pizza,f,74,N,,
avocado cheese,f,74,N,,
noodle soup,f,74,Y,,
chips hummus,f,74,N,,
carrots hummus,f,74,N,,
gnc multivitamin,m,74,Y,,
vit sport,m,74,N,,
almond creamer,b,73,Y,,
goat cheese,f,73,Y,,
cheese crackers,f,73,Y,,
toast butter,f,73,Y,,
chicken quinoa,f,73,Y,,
chicken stir,f,73,N,,
decaf coffee,b,72,Y,,
red bull,b,72,Y,,
asada tacos,f,72,Y,,
fruit bowl,f,72,Y,,
chicken cheese,f,72,N,,
kettle chips,f,72,Y,,
salad fruit,f,72,Y,,
pollo asada,f,72,Y,,
turkey taco,f,71,Y,,
avocado tomato,f,71,N,,
refried beans,f,71,Y,,
onion bell,f,71,N,,
dried mango,f,71,Y,,
fruit chia,f,71,Y,,
coffee mct,b,70,N,,
organic celery,b,70,Y,,
banana apple,f,70,N,,
salad turkey,f,70,N,,
pasta chicken,f,70,N,,
turkey chili,f,70,Y,,
protein smoothie,f,70,Y,,
vegetable soup,f,69,Y,,
italian sub,f,69,Y,,
spinach chicken,f,69,N,,
double double,f,69,Y,,
turkey rice,f,69,N,,
oil pb,f,68,N,,
pork chops,f,67,Y,,
cheeseburger fries,f,67,N,,
garden salad,f,67,Y,,
vanilla ice,f,67,N,,
roasted almonds,f,67,Y,,
salad mixed,f,67,Y,,
mahi mahi,f,67,Y,,
yogurt fruit,f,67,Y,,
toast eggs,f,67,N,,
butter toast,f,67,Y,,
chicken enchilada,f,67,Y,,
mexican rice,f,67,Y,,
balsamic vinegar,f,67,Y,,
toast ounce,f,67,N,,
yogurt berries,f,66,N,,
beef tacos,f,66,Y,,
turkey salad,f,66,Y,,
chicken pesto,f,66,Y,,
breakfast scramble,f,66,Y,,
coconut milk,f,66,Y,,
cheese chicken,f,66,N,,
pb bar,f,66,Y,,
daily vitamins,m,66,Y,,
organic fruit,b,65,Y,,
salami cheese,f,65,N,,
veggie egg,f,65,N,,
avocado sandwich,f,65,Y,,
beef taco,f,65,Y,,
burger sweet,f,65,N,,
energy drink,f,65,Y,,
dr pepper,f,65,Y,,
chicken vegetables,f,65,N,,
salad veggies,f,65,Y,,
veggie smoothie,f,65,Y,,
banana almond,f,65,N,,
mixed vegetables,f,65,Y,,
sun dried,f,64,N,,
black tea,f,64,Y,,
cereal almond,f,64,N,,
cup coffee,b,63,N,Cup,
fruit spinach,b,63,N,,
pot pie,f,63,Y,,
soup grilled,f,63,N,,
parmesan cheese,f,63,Y,,
roasted vegetables,f,63,Y,,
cheese pizza,f,63,Y,,
potatoes broccoli,f,63,N,,
diet coke,b,62,Y,,
eggs ham,f,62,N,,
avocado salad,f,62,Y,,
spinach cheese,f,62,N,,
chicken noodle,f,62,N,,
cream sandwich,f,62,N,,
cinnamon roll,f,62,Y,,
cherry tomatoes,f,62,Y,,
dried cranberries,f,62,Y,,
cups coffee,b,61,N,Cup,
spinach shake,b,61,Y,,
burrito chips,f,61,N,,
sausage egg,f,61,N,,
tomato avocado,f,61,N,,
lara bar,f,61,Y,,
ahi tuna,f,61,Y,,
arugula salad,f,61,Y,,
burger salad,f,61,N,,
beef sandwich,f,61,Y,,
steak eggs,f,61,Y,,
fruit veggie,f,61,N,,
organic apple,f,61,Y,,
creamer coffee,f,61,Y,,
biloba lisinopril,m,61,N,,
multivitamin probiotic,m,61,Y,,
pre workout,b,60,Y,,
hard seltzer,b,60,Y,,
potatoes salad,f,60,Y,,
berries banana,f,60,N,,
biscuits gravy,f,60,Y,,
avocado onion,f,60,N,,
chips guacamole,f,60,N,,
bread butter,f,60,Y,,
salad rice,f,60,N,,
chocolate almonds,f,60,Y,,
plain greek,f,60,N,,
salad salmon,f,60,N,,
breakfast biscuits,f,60,Y,,
granola honey,f,60,Y,,
tip salad,f,59,N,,
blt sandwich,f,59,Y,,
sushi roll,f,59,Y,,
chicken fried,f,59,Y,,
chicken spinach,f,59,N,,
chicken fajitas,f,59,Y,,
onion rings,f,59,Y,,
ice tea,f,59,Y,,
nature valley,f,59,N,,
oatmeal almonds,f,59,N,,
bacon hash,f,58,N,,
chocolate cake,f,58,Y,,
cauliflower rice,f,58,Y,,
chicken green,f,58,N,,
pb j,f,58,Y,,
eggs sourdough,f,58,N,,
butter bar,f,58,N,,
steel cut,f,58,N,,
coffee tbsp,b,57,N,tbsp,
gin tonic,b,57,Y,,
protein drink,b,57,Y,,
salad avo,f,57,N,,
salad grilled,f,57,N,,
chipotle chicken,f,57,Y,,
sandwich fruit,f,57,N,,
pastrami sandwich,f,57,Y,,
al pastor,f,57,Y,,
almonds unsalted,f,57,Y,,
iced latte,b,56,Y,,
tbsp brain,b,56,N,,
brain oct,b,56,N,,
eggs potato,f,56,N,,
pork loin,f,56,Y,,
carnitas tacos,f,56,Y,,
bean soup,f,56,Y,,
cabbage salad,f,56,Y,,
turkey ham,f,56,N,,
red bell,f,56,Y,,
two eggs,f,56,N,two,
steak veggies,f,56,N,,
nut butter,f,56,Y,,
tomato onion,f,56,N,,
coffee splenda,f,56,Y,,
kitchen sauce,f,55,N,,
sunflower seeds,f,55,Y,,
oatmeal fruit,f,55,N,,
salad olive,f,55,N,,
calcium magnesium,m,55,Y,,
apple banana,f,54,N,,
chicken fajita,f,54,Y,,
chocolate bar,f,54,Y,,
buttered toast,f,54,Y,,
flax seed,f,54,Y,,
oatmeal honey,f,54,Y,,
powder almond,f,54,N,,
workout water,b,53,N,,
irish tea,b,53,Y,,
creamer sugar,b,53,N,,
eggs tater,f,53,N,,
salad wrap,f,53,Y,,
shrimp tacos,f,53,Y,,
club sandwich,f,53,Y,,
baked veggies,f,53,Y,,
squash soup,f,53,Y,,
blueberry muffin,f,53,Y,,
sausage eggs,f,53,N,,
milk banana,f,53,N,,
latte sugar,b,52,N,,
sugar syrup,b,52,Y,,
oatmeal banana,f,52,N,,
broccoli carrots,f,52,N,,
crackers cheese,f,52,N,,
lettuce tomato,f,52,N,,
lettuce wraps,f,52,Y,,
hummus pita,f,52,N,,
rotisserie chicken,f,52,Y,,
salad tuna,f,52,N,,
veggie sandwich,f,52,Y,,
cauliflower crust,f,52,N,,
organic granola,f,52,Y,,
supplements protein,f,52,N,,
eggs yolk,f,52,Y,,
salad tuna,f,52,N,,
spinach wrap,f,52,Y,,
cauliflower crust,f,52,N,,
organic granola,f,52,Y,,
supplement protein,f,52,N,,
ipa beer,b,51,Y,,
workout recovery,b,51,N,,
beer ipa,b,51,Y,,
workout recovery,b,51,N,,
veggie salad,f,51,Y,,
sandwich avocado,f,51,N,,
spring rolls,f,51,Y,,
mashed potato,f,51,Y,,
veggie soup,f,51,Y,,
avocado eggs,f,51,N,,
balsamic vinaigrette,f,51,Y,,
garbanzo beans,f,51,Y,,
spinach wrap,f,51,Y,,
enchilada rice,f,51,N,,
rice green,f,51,N,,
quinoa veggie,f,51,N,,
blueberry strawberry,f,51,N,,
cheese tortilla,f,51,N,,
balsamic vinaigrette,f,51,Y,,
sport glucosamine,m,51,Y,,
sport glucosamine,m,51,Y,,
diet pepsi,b,50,Y,,
beer ipa,b,50,Y,,
diet pepsi,b,50,Y,,
chicken pot,f,50,N,,
bacon sandwich,f,50,N,,
asian salad,f,50,Y,,
roasted chicken,f,50,Y,,
grilled veggies,f,50,Y,,
egg rolls,f,50,Y,,
seaweed salad,f,50,Y,,
avocado chicken,f,50,N,,
hamburger fries,f,50,N,,
chicken potatoes,f,50,N,,
stuffed bell,f,50,N,,
chicken sweet,f,50,N,,
chicken pot,f,50,N,,
bacon sandwich,f,50,N,,
asian salad,f,50,Y,,
handful almond,f,50,N,,
small bowl,f,50,N,,
roasted chicken,f,50,Y,,
cheese steak,f,50,Y,,
seaweed salad,f,50,Y,,
bean chicken,f,50,N,,
avocado chicken,f,50,N,,
potato asparagus,f,50,N,,
hamburger fry,f,50,N,,
stuffed bell,f,50,N,,
chicken sweet,f,50,N,,
potato carrot,f,50,N,,
black seed,m,50,N,,
seed oil,m,50,N,,
black seed,m,50,N,,
seed oil,m,50,N,,
chocolate milk,b,1,Y,,
emergen c,b,1,Y,,
coffee sugar,b,1,Y,,
submarine atc,f,1,Y,,
