gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
au lait,,coffee with steamed milk,,b,2.0,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,1,"['coffee', 'dairy']",['milk'],,"['caffeine', 'saturated fat']",
aubergine,,eggplant,eggplant,f,1.0,vegetable,,,,,complete,,['vegetable'],,,,
aussie bite,aussie bite,granola bar,,f,2.0,"grain, fruit, seed","oat, dried fruit",,added sugar,,complete,4,"['grain', 'fruit', 'seed']","['oat', 'dried fruit']",,['added sugar'],
avarakkai,,tamil for flat bean,,f,1.0,vegetable,,,,,complete,3,['vegetable'],,,,
avocado,,avocado,,f,1.0,fruit,,,unsaturated fat,,complete,,['fruit'],,,['unsaturated fat'],
avocado oil,,avocado oil,,f,2.0,other,,,unsaturated fat,,complete,2,['other'],,,['unsaturated fat'],
avocado salad,,avocado salad,,f,2.0,"vegetable, fruit","leafy, stone fruit",,,,incomplete,3,"['vegetable', 'fruit']","['leafy', 'stone fruit']",,,
avocado sandwich,,avocado sandwich,,f,2.0,"grain, fruit","wheat, stone fruit",,unsaturated fat,,complete,4,"['grain', 'fruit']","['wheat', 'stone fruit']",,['unsaturated fat'],
avocado toast,,avocado toast,,f,2.0,"grain, fruit","wheat, stone fruit",,"unsaturated fat, high sodium",,complete,3,"['grain', 'fruit']","['wheat', 'stone fruit']",,"['unsaturated fat', 'high sodium']",
awesome,,,,stopword,1.0,,,,,,,,,,,,
ayran,,yogurt-based beverage,,b,1.0,dairy,yogurt,,,,complete,3,['dairy'],['yogurt'],,,
b,,,,stopword,1.0,,,,,,,,,,,,
baba ganoush,,"mashed cooked eggplant, olive oil, lemon juice, various seasonings, and sometimes tahini",,f,2.0,"vegetable, other",oil,,unsaturated fat,,complete,3,"['vegetable', 'other']",['oil'],,['unsaturated fat'],
baby,,,,modifier,1.0,,,,,,,,,,,,
baby carrot,,baby carrot,,f,2.0,vegetable,root,,,,complete,1,['vegetable'],['root'],,,
baby spinach,,baby spinach,baby spinach,f,2.0,vegetable,leafy,,,,complete,1,['vegetable'],['leafy'],,,
babybel,,,,f,1.0,,,,,,,,,,,,
babybel cheese,,"dairy, cheese",,f,2.0,dairy,cheese,,,,,,['dairy'],['cheese'],,,
back,,,,stopword,1.0,,,,,,,,,,,,
backed,,,,stopword,1.0,,,,,,,,,,,,
bacon,,bacon,,f,1.0,protein,,,saturated fat,,incomplete,,['protein'],,,['saturated fat'],
bacon bit,,,,f,2.0,protein,pork,,"highly processed, saturated fat, high sodium",,,,['protein'],['pork'],,"['highly processed', 'saturated fat', 'high sodium']",
bacon breakfast burrito,,bacon breakfast burrito,,f,3.0,"grain, protein","wheat, pork, egg",,"saturated fat, high sodium",,incomplete,4,"['grain', 'protein']","['wheat', 'pork', 'egg']",,"['saturated fat', 'high sodium']",
bacon egg cheese,,bacon egg cheese,bacon and egg with cheese,f,3.0,"protein, dairy","pork, poultry, cheese",,,,complete,4,"['protein', 'dairy']","['pork', 'poultry', 'cheese']",,,
bacon fat,,,,f,2.0,,,,,,,,,,,,
bad,,,,stopword,1.0,,,,,,,,,,,,
bag,,,,modifier,1.0,,,,,,,,,,,,
bagel,,bagel,,f,1.0,grain,wheat,,,,incomplete,,['grain'],['wheat'],,,
bagel sandwich,,,,f,2.0,grain,wheat,,high sodium,,,,['grain'],['wheat'],,['high sodium'],
baguette,,baguette,baguette,f,1.0,grain,wheat,,high sodium,,complete,,['grain'],['wheat'],,['high sodium'],
bahn mi,,vietnamese sandwich,,f,2.0,"grain, protein, vegetable",wheat,,,,incomplete,3,"['grain', 'protein', 'vegetable']",['wheat'],,,
bai,bai,sparkling water,,w,1.0,sparkling water,flavored carbonated water,,,,incomplete,,['sparkling water'],['flavored carbonated water'],,,
bai bubbles,,,,w,2.0,,,,,,,,,,,,
bailey,baileys,liquor with cream,,b,1.0,"alcohol, dairy alternative, juice/smoothie","liquor, cream",,saturated fat,,complete,4,"['alcohol', 'dairy alternative', 'juice/smoothie']","['liquor', 'cream']",,['saturated fat'],
bailey irish,baileys,whisky with milk and chocolate,,b,2.0,"alcohol, dairy",liquor,straight,"added sugar, saturated fat",,complete,4,"['alcohol', 'dairy']",['liquor'],['straight'],"['added sugar', 'saturated fat']",
bake,,,,modifier,1.0,,,,,,,,,,,,
baked,,,,modifier,1.0,,,,,,,,,,,,
baked bean,,baked bean,,f,2.0,protein,legume,bean,"high sodium, added sugar",,complete,3,['protein'],['legume'],['bean'],"['high sodium', 'added sugar']",
baked chicken,,baked chicken,,f,2.0,protein,poultry,chicken,,,complete,3,['protein'],['poultry'],['chicken'],,
baked potato,,baked potato,,f,2.0,vegetable,root,,,,incomplete,3,['vegetable'],['root'],,,
baked vegetable,,baked vegetables,baked vegetables,f,2.0,vegetable,,,,,incomplete,3,['vegetable'],,,,
baked ziti,,,,f,2.0,,,,,,,,,,,,
baker,,,,stopword,1.0,,,,,,,,,,,,
bakery,,,,stopword,1.0,,,,,,,,,,,,
bakes,,,,stopword,1.0,,,,,,,,,,,,
bakewell,,,,modifier,1.0,,,,,,,,,,,,
baklava,,"desert,nuts",,f,1.0,"grain, nut, dessert/sweet treat","wheat, baked good",,added sugar,,,,"['grain', 'nut', 'dessert/sweet treat']","['wheat', 'baked good']",,['added sugar'],
balance,,,,stopword,1.0,,,,,,,,,,,,
balanced,,,,modifier,1.0,,,,,,,,,,,,
balm,,,,modifier,1.0,,,,,,,,,,,,
balsamic,,dressing,,f,1.0,other,,,,dressing,complete,,['other'],,,,['dressing']
balsamic dressing,,,,f,2.0,other,,,,dressing,complete,,['other'],,,,['dressing']
balsamic vinaigrette,,balsamic vinaigrette,,f,2.0,other,,,,dressing,incomplete,2,['other'],,,,['dressing']
balsamic vinegar,,balsamic vinegar,,f,2.0,other,vinegar,,,,complete,2,['other'],['vinegar'],,,
bamboo,,plant,,f,1.0,other,plant,,,,complete,1,['other'],['plant'],,,
bamboo shoot,,bamboo shoots,bamboo shoots,f,2.0,vegetable,,,,,complete,1,['vegetable'],,,,
banana,,banana,,f,1.0,fruit,,,,,complete,,['fruit'],,,,
banana bread,,banana bread,,f,2.0,dessert/sweet treat,baked good,,added sugar,,incomplete,4,['dessert/sweet treat'],['baked good'],,['added sugar'],
banana chip,,,,f,2.0,fruit,banana,,"fried, saturated fat",,,,['fruit'],['banana'],,"['fried', 'saturated fat']",
banana smoothie,,banana smoothie,,b,2.0,juice/smoothie,fruit,,,,incomplete,1,['juice/smoothie'],['fruit'],,,
bang,bang,energy drink,,b,1.0,energy drink,,,"caffeine, added sugar",,complete,,['energy drink'],,,"['caffeine', 'added sugar']",
bang energy,bang,energy drink,,b,2.0,energy drink,,,"caffeine, artifical sweetener",,complete,4,['energy drink'],,,"['caffeine', 'artifical sweetener']",
bang energy drink,bang,energy drink,,b,3.0,energy drink,,,"caffeine, artifical sweetener",,complete,4,['energy drink'],,,"['caffeine', 'artifical sweetener']",
banh mi,,vietnamese sandwich,,f,2.0,"grain, protein, vegetable",wheat,,,,incomplete,3,"['grain', 'protein', 'vegetable']",['wheat'],,,
banoffee,,,,modifier,1.0,,,,,,,,,,,,
banquet,,,,stopword,1.0,,,,,,,,,,,,
bao,,yeast-leavened filled bun,,f,1.0,"grain, protein",wheat,,,,incomplete,3,"['grain', 'protein']",['wheat'],,,
baobab,,,,modifier,1.0,,,,,,,,,,,,
bar,,,,modifier,1.0,,,,,,,,,,,,
barbacoa,,slow cooked meat,,f,1.0,protein,red meat,,saturated fat,,incomplete,3,['protein'],['red meat'],,['saturated fat'],
barbecue chicken,,barbecue chicken,,f,2.0,protein,poultry,chicken,"added sugar, high sodium",,incomplete,3,['protein'],['poultry'],['chicken'],"['added sugar', 'high sodium']",
barbecue chicken pizza,,barbecue chicken pizza,barbecue chicken pizza,f,3.0,"grain, protein, dairy","wheat, poultry, cheese",chicken,"added sugar, high sodium, saturated fat",,incomplete,3,"['grain', 'protein', 'dairy']","['wheat', 'poultry', 'cheese']",['chicken'],"['added sugar', 'high sodium', 'saturated fat']",
barbecue chicken salad,,barbecue chicken salad,barbecue chicken salad,f,3.0,"protein, vegetable","poultry, leafy",chicken,"added sugar, high sodium",,incomplete,3,"['protein', 'vegetable']","['poultry', 'leafy']",['chicken'],"['added sugar', 'high sodium']",
barbecue chip,,,,f,2.0,vegetable,root,,"high sodium, highly processed",,,,['vegetable'],['root'],,"['high sodium', 'highly processed']",
barbecue pork,,,,f,2.0,"protein, other","pork, sauce",,,,,,"['protein', 'other']","['pork', 'sauce']",,,
barbecue sauce,,barbeque sauce,,f,2.0,other,,,"added sugar, high sodium",sauce,complete,4,['other'],,,"['added sugar', 'high sodium']",['sauce']
barely,,,,stopword,1.0,,,,,,,,,,,,
barfi,,indian milk-based sweet snack,,f,1.0,dairy,"milk, butter",,"added sugar, saturated fat",,complete,4,['dairy'],"['milk', 'butter']",,"['added sugar', 'saturated fat']",
barista,,,,stopword,1.0,,,,,,,,,,,,
bark thins,barkthins,chocolate,,f,2.0,dessert/sweet treat,chocolate,,added sugar,,complete,4,['dessert/sweet treat'],['chocolate'],,['added sugar'],
barley,,grain,,f,1.0,grain,barley,,,,complete,,['grain'],['barley'],,,
barley grass,,,,f,2.0,,,,,,,,,,,,
barramundi,,asian sea bass,,f,1.0,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
barukas,,brazilian nuts,,f,1.0,nut,,,unsaturated fat,,complete,1,['nut'],,,['unsaturated fat'],
basa,,basa,,f,1.0,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
basa loin,,fish,,f,2.0,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
base,,,,stopword,1.0,,,,,,,,,,,,
basil,,basil,,f,1.0,other,herb,,,,complete,,['other'],['herb'],,,
basis,,,,stopword,1.0,,,,,,,,,,,,
basmati,,basmati rice,basmati rice,f,1.0,grain,rice,,,,complete,1,['grain'],['rice'],,,
basmati rice,,basmati rice,basmati rice,f,2.0,grain,rice,,,,incomplete,1,['grain'],['rice'],,,
bat,,,,stopword,1.0,,,,,,,,,,,,
batata,,sweet potato,sweet potato,f,1.0,vegetable,root,,,,complete,1,['vegetable'],['root'],,,
batter,,,,stopword,1.0,,,,,,,,,,,,
battered,,,,modifier,1.0,,,,,,,,,,,,
bavarian,,,,modifier,1.0,,,,,,,,,,,,
bay,,,,stopword,1.0,,,,,,,,,,,,
beacon,,,,stopword,1.0,,,,,,,,,,,,
bead,,,,stopword,1.0,,,,,,,,,,,,
bean,,bean,,f,1.0,protein,legume,bean,,,complete,,['protein'],['legume'],['bean'],,
bean burrito,,bean burrito,,f,2.0,"grain, protein","wheat, legume",bean,high sodium,,incomplete,3,"['grain', 'protein']","['wheat', 'legume']",['bean'],['high sodium'],
bean cheese burrito,,bean cheese burrito,,f,3.0,"grain, protein, dairy","wheat, legume, cheese",bean,"high sodium, saturated fat",,incomplete,3,"['grain', 'protein', 'dairy']","['wheat', 'legume', 'cheese']",['bean'],"['high sodium', 'saturated fat']",
bean salad,,bean salad,bean salad,f,2.0,protein,legume,bean,,,vague,3,['protein'],['legume'],['bean'],,
bean soup,,bean soup,,f,2.0,protein,legume,bean,high sodium,,incomplete,3,['protein'],['legume'],['bean'],['high sodium'],
bean sprout,,,,f,2.0,vegetable,,,,,,,['vegetable'],,,,
beanitos,beanitos,bean chips,,f,1.0,"grain, protein","rice, legume",bean,highly processed,,incomplete,4,"['grain', 'protein']","['rice', 'legume']",['bean'],['highly processed'],
bear claw,,sweet pastry,,f,2.0,"grain, dessert/sweet treat","wheat, baked good",,"saturated fat, added sugar",,complete,4,"['grain', 'dessert/sweet treat']","['wheat', 'baked good']",,"['saturated fat', 'added sugar']",
bear naked,bear naked,,,modifier,2.0,,,,,,,,,,,,
bearnaise,,sauce with egg yolks and butter,,f,1.0,"dairy, protein","butter, egg",,saturated fat,,complete,3,"['dairy', 'protein']","['butter', 'egg']",,['saturated fat'],
beat,,,,modifier,1.0,,,,,,,,,,,,
beat,,,,stopword,1.0,,,,,,,,,,,,
bechamel,,type of sauce,,f,1.0,"grain, dairy","wheat, butter",,"saturated fat, ",sauce,incomplete,3,"['grain', 'dairy']","['wheat', 'butter']",,"['saturated fat', '']",['sauce']
bedtime,,,,modifier,1.0,,,,,,,,,,,,
bee,,,,stopword,1.0,,,,,,,,,,,,
bee hoon,,singaporean noodles,,f,2.0,grain,rice,,,,complete,3,['grain'],['rice'],,,
beef,,beef,,f,1.0,protein,red meat,beef,saturated fat,,complete,,['protein'],['red meat'],['beef'],['saturated fat'],
beef bone broth,,broth,,f,3.0,"protein, other",red meat,beef,"saturated fat, high sodium",,vague,3,"['protein', 'other']",['red meat'],['beef'],"['saturated fat', 'high sodium']",
beef brisket,,,,f,2.0,protein,red meat,beef,high sodium,,,,['protein'],['red meat'],['beef'],['high sodium'],
beef broth,,beef,,f,2.0,other,broth,,,,,,['other'],['broth'],,,
beef burger,,beef burger,,f,2.0,"protein, grain","red meat, wheat",beef,"high sodium, saturated fat",,vague,3,"['protein', 'grain']","['red meat', 'wheat']",['beef'],"['high sodium', 'saturated fat']",
beef jerky,,beef jerky,,f,2.0,protein,red meat,beef,high sodium,,complete,4,['protein'],['red meat'],['beef'],['high sodium'],
beef liver,,,,f,2.0,protein,,,,,,,['protein'],,,,
beef patty,,beef,,f,2.0,protein,red meat,beef,saturated fat,,,,['protein'],['red meat'],['beef'],['saturated fat'],
